ID,Start time,Completion time,"In the Introductory Survey, 33% of the class responded that they had no prior experience using any sort of coding language. How would you now rate your level of confidence in using R (as it was ap...",Was R useful for creating calibration curves and calculating sample concentrations in Labs 2 and 3 (dust and field trip)?,Do you feel that R code provided in Lab 5 helped streamline the bottom-up analysis in the group projects?,"Our motivation for introducing R to the CHM410-1410 lab was both to streamline aspects of the lab analyses, and to introduce the language so that if you had the need or opportunity to use it in th...",Thanks for completing the survey!!  Anything else you would like to share with us?
2,12-10-21 11:12:38,12-10-21 11:22:36,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, but it took too much time and effort to get used to.","Yes, it made the bottom-up analysis much faster.",Somewhat,Thanks for being such a kind and supportive group of leaders this semester!!!!
3,12-10-21 12:05:31,12-10-21 12:22:32,I am reasonably confident that I could use R in the future to do calculations or make simple plots.,"Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, and I would have liked the opportunity to learn more advanced code for this type of analysis.",Somewhat,It would be helpful to talk a little bit about fragmentations before we have to predict fragments in Lab5 for the top-down analysis. And I think it is really helpful to know R 
4,12-10-21 12:28:44,12-10-21 12:40:51,I am reasonably confident that I could use R in the future to do calculations or make simple plots.,"Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Yes,"great course, highly recommended"
5,12-10-21 12:49:51,12-10-21 13:23:17,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, but it took too much time and effort to get used to.","Yes, it made the bottom-up analysis much faster.",Somewhat,"I'm guessing this isn't exactly your jurisdiction, but with adding R components to chemistry courses, I'm wondering if the chemistry department might consider having students take an R programming course so that they don't have to learn R on the fly?"
6,12-10-21 13:37:07,12-10-21 14:00:56,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, but it took too much time and effort to get used to.","Yes, it made the bottom-up analysis much faster.",Yes,"I contemplated removing the air lab - but as it provided a nice and straightforward introduction to R I do think it was valuable. 

I think a good thing to include would be a file directory on Quercus where all the files could be found in addition to having them hyperlinked in the modules. It is easy to miss one when going back to work on the assignment for a second time and often results in many windows open. I think having all those files in one place would be helpful"
7,12-10-21 13:56:25,12-10-21 14:10:04,"With some help, I feel I could use R in the future to do calculations or make simple plots.","No, I would have preferred to just use Excel or other graphing software.","Yes, it made the bottom-up analysis much faster.",Somewhat,Loved the lab focus of this course. 
8,12-10-21 14:13:08,12-10-21 14:19:48,I would have no problem using R in the future to do calculations or make simple plots.,"Yes, but it took too much time and effort to get used to.","Yes, it made the bottom-up analysis much faster.",Yes,"Great job! This course offers a unique experience unlike any other course I've taken in my undergrad years. Thank you for making such an amazing course. It is definitely a very heavy workload course, but otherwise, it was really fun."
9,12-10-21 14:54:54,12-10-21 15:04:53,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, but it took too much time and effort to get used to.","Yes, it made the bottom-up analysis much faster.",Somewhat,Thank you for a great semester! :)
10,12-10-21 14:50:47,12-10-21 15:12:16,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, but it took too much time and effort to get used to.","Yes, it made the bottom-up analysis much faster.",Yes,R is hard to use because I didn't know how to see what was being done to my variables as I went. Made troubleshooting more difficult.
11,12-10-21 16:08:52,12-10-21 16:14:32,I would have extreme difficulty using R in the future to do calculations or make simple plots.,"Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, and I would have liked the opportunity to learn more advanced code for this type of analysis.",Yes,"Thank you Jessica, you are so nice and supportive. Wish you a great holiday !"
